tv_series,tv_seriesLabel,start_time,end_time,award,awardLabel,award_year,award_type
http://www.wikidata.org/entity/Q122816465,5:32,,,,,,
http://www.wikidata.org/entity/Q2056587,"6 фильмов, которые не дадут вам уснуть",1966-02-04T00:00:00Z,1982-09-27T00:00:00Z,,,,
http://www.wikidata.org/entity/Q247869,60 минут,1968-09-24T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q67200575,68 Виски,2020-01-15T00:00:00Z,2020-03-18T00:00:00Z,,,,
http://www.wikidata.org/entity/Q1123084,7 поколений рок-н-ролла,2007-05-19T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q1111300,8 простых правил для друга моей дочери-подростка,2002-09-17T00:00:00Z,2005-08-19T00:00:00Z,http://www.wikidata.org/entity/Q989442,Премия «Эмми» за лучшую мужскую роль в комедийном телесериале,2004-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q1111300,8 простых правил для друга моей дочери-подростка,2002-09-17T00:00:00Z,2005-08-19T00:00:00Z,http://www.wikidata.org/entity/Q5280670,Премия Гильдии режиссёров Америки за лучшую режиссуру — Комедийный телесериал,2003-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q4032517,80 дней вокруг света (мультсериал),1972-09-09T00:00:00Z,1973-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q109062197,9 месяцев,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q30611820,9-1-1,2018-01-03T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q132673387,9-1-1: Нэшвилл,2025-10-09T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q75053165,9-1-1: Одинокая звезда,2020-01-19T00:00:00Z,2025-02-03T00:00:00Z,,,,
http://www.wikidata.org/entity/Q62108694,90-е. Весело и громко,,,,,,
http://www.wikidata.org/entity/Q64210970,90210,2019-08-07T00:00:00Z,2019-09-11T00:00:00Z,,,,
http://www.wikidata.org/entity/Q276071,90210: Новое поколение,2008-09-02T00:00:00Z,2013-05-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q30126643,"9J, 9K и 9L",2017-10-02T00:00:00Z,2018-02-02T00:00:00Z,,,,
http://www.wikidata.org/entity/Q108765687,ABBA: Документальный фильм,,,,,,
http://www.wikidata.org/entity/Q107738509,ABC 7 Chicago,,,,,,
http://www.wikidata.org/entity/Q107490608,AEW Rampage,2021-08-13T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q4652766,AM America,1975-01-06T00:00:00Z,1975-10-31T00:00:00Z,,,,
http://www.wikidata.org/entity/Q21065419,Adam Ruins Everything,2015-09-29T00:00:00Z,2019-10-01T00:00:00Z,,,,
http://www.wikidata.org/entity/Q115933809,Almost Fly,2022-01-01T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q4740745,Amaya,2011-05-30T00:00:00Z,2012-01-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q55391147,America Says,2018-06-18T00:00:00Z,2020-01-28T00:00:00Z,,,,
http://www.wikidata.org/entity/Q463447,American Bandstand,1952-10-07T00:00:00Z,1989-10-07T00:00:00Z,,,,
http://www.wikidata.org/entity/Q463700,American Chopper,2003-03-01T00:00:00Z,2012-12-17T00:00:00Z,,,,
http://www.wikidata.org/entity/Q201052,American Idol,2002-06-11T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q4744595,American Ninja Warrior,2009-12-12T00:00:00Z,,,,,
http://www.wikidata.org/entity/Q4801949,Artzooka!,2010-01-01T00:00:00Z,2012-04-13T00:00:00Z,,,,
http://www.wikidata.org/entity/Q48789467,Ashes of Love (телесериал),2018-08-02T00:00:00Z,2018-09-03T00:00:00Z,,,,
