tv_series,tv_seriesLabel,start_year,end_year,awardLabel,subjectLabel
http://www.wikidata.org/entity/Q8539,Теория большого взрыва,2007,2019,Премия «Эмми» за лучшую мужскую роль в комедийном телесериале,
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,подростковый возраст
http://www.wikidata.org/entity/Q105612224,Unbroken,2021,2021,Deutscher Fernsehpreis,
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,молодой человек
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Make-Up Artists and Hair Stylists Guild Award for Contemporary Makeup in Television and New Media Series,предподростковый возраст
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Kids' Choice Award for Favorite TV Show,ломтик жизни
http://www.wikidata.org/entity/Q106609866,Пэм и Томми,2022,2022,Премия «Золотой глобус» за лучший мини-сериал или телефильм,Томми Ли
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,"Премия «Спутник» за лучшую мужскую роль второго плана — мини-сериал, телесериал или телефильм",путешествие во времени
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Make-Up Artists and Hair Stylists Guild Award for Contemporary Makeup in Television and New Media Series,подростковый возраст
http://www.wikidata.org/entity/Q114917662,The Really Loud House,2022,2024,Make-Up Artists and Hair Stylists Guild Award for Contemporary Makeup in Television and New Media Series,молодой человек
http://www.wikidata.org/entity/Q3815,Грань,2008,2013,"Премия «Спутник» за лучшую мужскую роль второго плана — мини-сериал, телесериал или телефильм",паранормальные явления
