tv_series,tv_seriesLabel,start_year,end_year,awardLabel,subjectLabel
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,Премия «Эмми» в категории «Лучший приглашённый актёр в драматическом телесериале»,наркоторговля
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,Премия «Золотой глобус» за лучший телевизионный сериал — драма,наркоторговля
http://www.wikidata.org/entity/Q2744,Секретные материалы,1993,2018,Премия «Золотой глобус» за лучший телевизионный сериал — драма,Федеральное бюро расследований
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,Primetime Emmy Award for Outstanding Casting for a Drama Series,наркоторговля
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,Primetime Emmy Award for Outstanding Cinematography for a One Hour Series,наркоторговля
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,Primetime Emmy Award for Outstanding Cinematography for a Single-Camera Series,наркоторговля
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,Primetime Emmy Award for Outstanding Single-Camera Picture Editing for a Drama Series,наркоторговля
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,премия «Эмми» за лучший драматический сериал,наркоторговля
http://www.wikidata.org/entity/Q1079,Во все тяжкие,2008,2013,премия «Эмми» за лучшую мужскую роль в драматическом телесериале,наркоторговля
http://www.wikidata.org/entity/Q3283662,The Wendy Williams Show,2008,2022,Daytime Emmy Award for Outstanding Talk Show Entertainment,
http://www.wikidata.org/entity/Q7927145,Виктория Вуд,1989,1989,British Academy Television Award for Best Entertainment Performance,
http://www.wikidata.org/entity/Q20642206,Нарко,2015,2017,British Academy Television Award for Best International Programme,Пабло Эскобар
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия «Эмми» за лучшую режиссуру драматического телесериала,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,NAACP Image Award лучшей актрисе второго плана в драматическом сериале,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,NAACP Image Award лучшему актёру второго плана в драматическом сериале,политическая система США
http://www.wikidata.org/entity/Q3577037,Западное крыло,1999,2006,Премия Гильдии киноактёров США за лучший актёрский состав в драматическом сериале,политическая система США
http://www.wikidata.org/entity/Q7713098,The Alice,2005,2005,APRA Music Awards,
http://www.wikidata.org/entity/Q7713098,The Alice,2005,2006,APRA Music Awards,
http://www.wikidata.org/entity/Q15223101,Гормоны,2013,2015,Q16307771,подростковый возраст
http://www.wikidata.org/entity/Q16913682,Девственница Джейн,2014,2019,Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл,девственница
http://www.wikidata.org/entity/Q16913682,Девственница Джейн,2014,2019,Премия «Золотой глобус» за лучший телевизионный сериал — комедия или мюзикл,сатира
